bound,syed_schapire_num_demos,syed_schapire_bound,abbeel_num_demos,abbeel_bound
0.05,14616501,0.04999999929510044,6496223,0.04999999801230375
0.04,22838283,0.039999999271882365,10150348,0.039999999271882365
0.03,40601391,0.02999999982335724,18045063,0.02999999954627314
0.02,91353129,0.019999999964337153,40601391,0.01999999988223816
0.01,365412515,0.009999999995851742,162405563,0.0099999999719062
